"Lepto","Running_off_leash","Water"
"1","TRUE","FALSE","FALSE"
"2","TRUE","TRUE","TRUE"
"3","FALSE","FALSE","FALSE"
"4","FALSE","FALSE","FALSE"
"5","TRUE","FALSE","FALSE"
"6","FALSE","FALSE","FALSE"
"7","TRUE","FALSE","FALSE"
"8","TRUE","TRUE","FALSE"
"9","FALSE","FALSE","FALSE"
"10","FALSE","TRUE","FALSE"
"11","TRUE","FALSE","FALSE"
"12","FALSE","FALSE","FALSE"
"13","TRUE","TRUE","FALSE"
"14","TRUE","TRUE","FALSE"
"15","FALSE","FALSE","FALSE"
"16","FALSE","FALSE","FALSE"
"17","TRUE","FALSE","FALSE"
"18","FALSE","FALSE","FALSE"
"19","TRUE","TRUE","FALSE"
"20","TRUE","FALSE","FALSE"
"21","TRUE","TRUE","FALSE"
"22","TRUE","TRUE","FALSE"
"23","TRUE","FALSE","FALSE"
"24","TRUE","FALSE","FALSE"
"25","FALSE","TRUE","TRUE"
"26","TRUE","TRUE","FALSE"
"27","TRUE","TRUE","TRUE"
"28","TRUE","FALSE","TRUE"
"29","FALSE","TRUE","TRUE"
"30","TRUE","FALSE","TRUE"
"31","TRUE","FALSE","FALSE"
"32","FALSE","FALSE","FALSE"
"33","TRUE","TRUE","FALSE"
"34","FALSE","FALSE","TRUE"
"35","TRUE","TRUE","FALSE"
"36","TRUE","TRUE","FALSE"
"37","FALSE","FALSE","FALSE"
"38","FALSE","FALSE","FALSE"
"39","TRUE","FALSE","FALSE"
"40","FALSE","FALSE","FALSE"
"41","TRUE","TRUE","FALSE"
"42","TRUE","FALSE","FALSE"
"43","TRUE","TRUE","FALSE"
"44","TRUE","FALSE","FALSE"
"45","TRUE","TRUE","TRUE"
"46","TRUE","TRUE","FALSE"
"47","TRUE","FALSE","FALSE"
"48","TRUE","TRUE","FALSE"
"49","FALSE","FALSE","FALSE"
"50","TRUE","FALSE","FALSE"
"51","FALSE","FALSE","FALSE"
"52","TRUE","TRUE","FALSE"
"53","FALSE","FALSE","FALSE"
"54","TRUE","TRUE","FALSE"
"55","FALSE","FALSE","FALSE"
"56","TRUE","TRUE","FALSE"
"57","FALSE","FALSE","FALSE"
"58","FALSE","FALSE","FALSE"
"59","TRUE","FALSE","FALSE"
"60","TRUE","TRUE","FALSE"
"61","FALSE","FALSE","TRUE"
"62","FALSE","TRUE","FALSE"
"63","TRUE","FALSE","FALSE"
"64","FALSE","FALSE","FALSE"
"65","FALSE","FALSE","FALSE"
"66","TRUE","TRUE","FALSE"
"67","FALSE","FALSE","FALSE"
"68","TRUE","FALSE","FALSE"
"69","FALSE","FALSE","FALSE"
"70","FALSE","FALSE","FALSE"
"71","FALSE","FALSE","FALSE"
"72","FALSE","FALSE","FALSE"
"73","FALSE","FALSE","FALSE"
"74","TRUE","FALSE","FALSE"
"75","TRUE","TRUE","FALSE"
"76","FALSE","FALSE","FALSE"
"77","TRUE","TRUE","FALSE"
"78","TRUE","FALSE","FALSE"
"79","FALSE","FALSE","FALSE"
"80","TRUE","FALSE","FALSE"
"81","TRUE","FALSE","TRUE"
"82","FALSE","FALSE","FALSE"
"83","FALSE","FALSE","FALSE"
"84","TRUE","TRUE","FALSE"
