Season,Dog_size,Age,Winter_type,Running_off_leash,Water,Lepto
spring,medium,senior,dry,true,false,true
summer,medium,young,dry,true,false,false
fall,medium,young,extremely_wet,false,true,false
summer,medium,young,extremely_dry,false,false,true
summer,small,young,wet,true,true,true
fall,small,adult,wet,true,true,true
fall,small,adult,wet,true,false,true
summer,medium,adult,dry,false,false,false
summer,small,senior,wet,false,false,false
summer,medium,young,wet,true,false,true
fall,medium,senior,extremely_wet,true,false,true
winter,large,young,extremely_wet,true,true,true
winter,small,young,extremely_wet,false,true,true
fall,large,young,wet,true,true,false
spring,medium,young,extremely_wet,true,true,true
spring,large,young,extremely_dry,false,true,true
winter,large,senior,wet,false,false,false
spring,medium,senior,extremely_dry,false,true,true
summer,large,young,extremely_dry,true,true,true
spring,medium,young,wet,true,true,true
spring,medium,senior,dry,false,false,false
spring,medium,adult,extremely_dry,true,true,true
summer,large,adult,dry,false,false,false
summer,large,young,extremely_dry,true,true,true
fall,large,young,dry,true,true,true
summer,small,adult,wet,true,false,true
spring,large,adult,wet,false,true,false
winter,medium,young,dry,true,true,false
summer,small,young,extremely_dry,false,false,false
summer,medium,adult,extremely_dry,true,false,true
winter,medium,adult,dry,false,true,true
winter,small,adult,wet,true,true,true
spring,small,senior,wet,false,true,false
winter,large,adult,extremely_dry,false,true,true
fall,small,adult,dry,false,true,false
summer,medium,young,dry,false,false,true
winter,large,young,dry,false,true,true
fall,medium,senior,wet,true,true,true
fall,large,adult,extremely_wet,false,true,false
winter,medium,adult,dry,false,false,true
winter,small,adult,extremely_dry,false,false,false
winter,medium,adult,wet,false,false,false
summer,small,young,extremely_dry,false,false,false
summer,small,senior,wet,true,false,true
summer,large,senior,extremely_dry,false,false,false
spring,medium,adult,extremely_wet,true,true,true
winter,large,adult,extremely_dry,false,true,false
fall,small,young,extremely_dry,false,true,false
summer,small,senior,dry,false,true,false
summer,medium,young,wet,false,false,false
summer,medium,adult,extremely_dry,true,false,true
fall,small,young,dry,false,true,true
fall,small,senior,extremely_dry,true,true,true
winter,medium,young,extremely_wet,true,true,false
spring,medium,senior,extremely_wet,false,false,false
fall,medium,adult,extremely_dry,true,true,true
summer,large,senior,dry,false,false,true
winter,small,young,extremely_wet,false,true,true
fall,small,young,extremely_wet,false,false,false
fall,large,young,extremely_wet,true,false,true
spring,medium,young,extremely_dry,true,false,true
summer,medium,senior,extremely_dry,false,false,true
winter,large,adult,wet,false,true,false
winter,small,senior,extremely_wet,false,true,false
summer,large,senior,wet,false,false,true
fall,medium,adult,dry,true,false,true
summer,medium,young,dry,false,true,false
winter,medium,young,extremely_dry,false,true,false
summer,medium,young,dry,true,false,true
summer,medium,young,extremely_dry,false,true,true
fall,large,senior,extremely_dry,true,true,true
spring,medium,young,extremely_dry,false,true,true
summer,medium,senior,wet,true,true,true
summer,large,young,extremely_wet,true,true,true
